worker_id,platform,worker_type,location,age,experience_months,working_hours,daily_income,avg_daily_distance_km,weather_risk,traffic_risk,area_risk,night_work_ratio,historical_incidents,safety_score,days_active_last_30,previous_claims,avg_trip_duration_min,risk_score,risk_level,recommended_premium
W00001,Swiggy,Ride_Hailing,Pune,25,9,11.0,827.0,90.6,0.427,0.374,0.345,0.301,1,0.919,18,0,8.0,0.4137,MEDIUM,11.36
W00002,Zepto,Delivery,Mumbai,47,34,4.7,1307.0,112.7,0.412,0.317,0.245,0.236,2,0.734,19,1,33.3,0.3759,MEDIUM,11.47
W00003,Blinkit,Ride_Hailing,Navi_Mumbai,30,69,7.6,1664.0,126.4,0.116,,0.131,0.184,0,0.4,29,0,28.8,0.3157,LOW,11.75
W00004,Ola,Delivery,Bengaluru,38,41,3.9,1600.0,92.5,0.309,0.615,0.039,0.653,0,0.368,10,0,18.4,0.4023,MEDIUM,12.02
W00005,Ola,Delivery,Delhi,52,17,7.1,914.0,93.0,0.273,0.335,0.356,0.051,2,0.636,12,0,21.8,0.357,MEDIUM,10.92
W00006,Amazon,Ride_Hailing,Hyderabad,25,95,11.3,1203.0,119.7,0.509,0.149,0.093,0.512,0,0.935,10,2,41.7,0.3773,MEDIUM,10.41
W00007,Swiggy,Quick_Commerce,Bengaluru,34,20,11.9,1363.0,10.0,0.435,0.782,0.366,0.443,1,0.805,17,0,26.7,0.4711,MEDIUM,12.45
W00008,Blinkit,Courier,Navi_Mumbai,24,9,8.2,1107.0,88.1,0.221,0.22,0.428,0.459,2,1.0,18,0,38.5,0.3617,MEDIUM,12.35
W00009,Zomato,Quick_Commerce,Bengaluru,34,37,5.9,1013.0,64.5,0.453,0.441,0.279,0.231,1,0.635,30,0,41.8,0.3825,MEDIUM,12.43
W00010,Swiggy,Courier,Hyderabad,29,11,10.3,494.0,87.0,0.118,0.387,0.591,0.447,2,0.664,28,0,45.0,0.4372,MEDIUM,12.71
W00011,Ola,Quick_Commerce,Delhi,52,57,9.4,797.0,97.4,0.174,0.124,0.287,0.209,0,0.691,7,1,24.7,0.2897,LOW,9.27
W00012,Amazon,Quick_Commerce,Bengaluru,29,42,7.7,857.0,128.6,0.113,0.597,0.298,0.769,0,0.729,17,0,28.7,0.437,MEDIUM,11.7
W00013,Zepto,Delivery,Pune,41,89,7.8,659.0,36.5,0.208,0.436,0.103,0.56,0,0.774,26,0,16.6,0.3044,LOW,8.74
W00014,Zepto,Ride_Hailing,Hyderabad,23,17,7.9,1138.0,59.8,0.301,0.638,0.113,0.067,2,0.991,20,0,33.9,0.3307,MEDIUM,10.55
